,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
325,2020-10-25,Wolves,Newcastle,1,1,D
326,2020-10-25,Arsenal,Leicester,0,1,A
327,2020-10-24,West Ham,Man City,1,1,D
328,2020-10-24,Fulham,Crystal Palace,1,2,A
329,2020-10-24,Man Utd,Chelsea,0,0,D
330,2020-10-24,Liverpool,Sheffield Utd,2,1,H
331,2020-10-23,Aston Villa,Leeds,0,3,A
332,2020-10-19,West Brom,Burnley,0,0,D
333,2020-10-19,Leeds,Wolves,0,1,A
334,2020-10-18,Sheffield Utd,Fulham,1,1,D
335,2020-10-18,Crystal Palace,Brighton,1,1,D
336,2020-10-18,Spurs,West Ham,3,3,D
337,2020-10-18,Leicester,Aston Villa,0,1,A
338,2020-10-17,Everton,Liverpool,2,2,D
339,2020-10-17,Chelsea,Southampton,3,3,D
340,2020-10-17,Man City,Arsenal,1,0,H
341,2020-10-17,Newcastle,Man Utd,1,4,A
342,2020-10-04,Leicester,West Ham,0,3,A
343,2020-10-04,Southampton,West Brom,2,0,H
344,2020-10-04,Arsenal,Sheffield Utd,2,1,H
345,2020-10-04,Wolves,Fulham,1,0,H
346,2020-10-04,Man Utd,Spurs,1,6,A
347,2020-10-04,Aston Villa,Liverpool,7,2,H
348,2020-10-03,Chelsea,Crystal Palace,4,0,H
349,2020-10-03,Everton,Brighton,4,2,H
350,2020-10-03,Leeds,Man City,1,1,D
351,2020-10-03,Newcastle,Burnley,3,1,H
352,2020-09-28,Fulham,Aston Villa,0,3,A
353,2020-09-28,Liverpool,Arsenal,3,1,H
354,2020-09-27,Sheffield Utd,Leeds,0,1,A
355,2020-09-27,Spurs,Newcastle,1,1,D
356,2020-09-27,Man City,Leicester,2,5,A
357,2020-09-27,West Ham,Wolves,4,0,H
358,2020-09-26,West Brom,Chelsea,3,3,D
359,2020-09-26,Burnley,Southampton,0,1,A
360,2020-09-26,Brighton,Man Utd,2,3,A
361,2020-09-26,Crystal Palace,Everton,1,2,A
362,2020-09-21,Aston Villa,Sheffield Utd,1,0,H
363,2020-09-21,Wolves,Man City,1,3,A
