,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
109,109,2016-11-06,Swansea City,Manchester United,1,3,A,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
110,110,2016-11-19,Crystal Palace,Manchester City,1,2,A,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
111,111,2016-11-19,Everton,Swansea City,1,1,D,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
112,112,2016-11-19,Manchester United,Arsenal,1,1,D,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
113,113,2016-11-19,Southampton,Liverpool,0,0,D,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
114,114,2016-11-19,Stoke City,Bournemouth,0,1,A,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
115,115,2016-11-19,Sunderland,Hull City,3,0,H,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
116,116,2016-11-19,Tottenham Hotspur,West Ham United,3,2,H,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
117,117,2016-11-19,Watford,Leicester City,2,1,H,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
118,118,2016-11-20,Middlesbrough,Chelsea,0,1,A,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
119,119,2016-11-21,West Bromwich Albion,Burnley,4,0,H,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
120,120,2016-11-26,Burnley,Manchester City,1,2,A,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
121,121,2016-11-26,Chelsea,Tottenham Hotspur,2,1,H,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
122,122,2016-11-26,Hull City,West Bromwich Albion,1,1,D,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False
123,123,2016-11-26,Leicester City,Middlesbrough,2,2,D,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
124,124,2016-11-26,Liverpool,Sunderland,2,0,H,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
125,125,2016-11-26,Swansea City,Crystal Palace,5,4,H,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
126,126,2016-11-27,Arsenal,Bournemouth,3,1,H,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
127,127,2016-11-27,Manchester United,West Ham United,1,1,D,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
128,128,2016-11-27,Southampton,Everton,1,0,H,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
129,129,2016-11-27,Watford,Stoke City,0,1,A,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
130,130,2016-12-03,Crystal Palace,Southampton,3,0,H,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
131,131,2016-12-03,Manchester City,Chelsea,1,3,A,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
132,132,2016-12-03,Stoke City,Burnley,2,0,H,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
