,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
355,2018-08-25,Bournemouth,Everton,2,2,D
356,2018-08-25,Arsenal,West Ham,3,1,H
357,2018-08-25,Huddersfield,Cardiff,0,0,D
358,2018-08-25,Southampton,Leicester,1,2,A
359,2018-08-25,Liverpool,Brighton,1,0,H
360,2018-08-20,Crystal Palace,Liverpool,0,2,A
361,2018-08-19,Burnley,Watford,1,3,A
362,2018-08-19,Man City,Huddersfield,6,1,H
363,2018-08-19,Brighton,Man Utd,3,2,H
364,2018-08-18,Cardiff,Newcastle,0,0,D
365,2018-08-18,Everton,Southampton,2,1,H
366,2018-08-18,Leicester,Wolves,2,0,H
367,2018-08-18,Spurs,Fulham,3,1,H
368,2018-08-18,West Ham,Bournemouth,1,2,A
369,2018-08-18,Chelsea,Arsenal,3,2,H
370,2018-08-12,Liverpool,West Ham,4,0,H
371,2018-08-12,Southampton,Burnley,0,0,D
372,2018-08-12,Arsenal,Man City,0,2,A
373,2018-08-11,Newcastle,Spurs,1,2,A
374,2018-08-11,Bournemouth,Cardiff,2,0,H
375,2018-08-11,Fulham,Crystal Palace,0,2,A
376,2018-08-11,Huddersfield,Chelsea,0,3,A
377,2018-08-11,Watford,Brighton,2,0,H
378,2018-08-11,Wolves,Everton,2,2,D
379,2018-08-10,Man Utd,Leicester,2,1,H
